title,author,year,isbn,publisher,language,edition_count
Core Python Programming,R. Nageswara Rao,2016,,,"hin, eng",5
Core Python programming,Wesley Chun,2006,,,eng,2
Black Hat Python,"Justin Seitz, Tim Arnold",2014,,,"eng, pol",3
Python Programming,Reema Thareja,2019,,,eng,2
Python,Joshua Welsh,2017,,,eng,1
Python Programming,Sarah Stewart,2019,,,,1
Python Programming,Adam Stewart,2016,,,eng,2
Python Programming Crash Course,Alex Jaxson,2022,,,eng,1
Python programming,John M. Zelle,2003,,,eng,2
Python Programming,"Naveen ,Kumar and Taneja Sheetal",2017,,,,1
Python Programming,Scott Bernard,2017,,,eng,1
Python Programming,Logical Operations Staff,2015,,,eng,2
Python Programming,"Vijaya Kumara Sarma, Vimal Kumar, Swati Sharma, Shashwat Pathak",2021,,,eng,5
Python Programming,Wen Mcrorie,2022,,,eng,1
Python programming in context,Bradley N. Miller,2009,,,eng,6
Python Programming,David Yang,2017,,,eng,1
Python Programming,moaml mohmmed,2019,,,eng,1
Programming Python,Mark Lutz,1996,,,eng,10
Python Programming,Infinity Solutions,2020,,,eng,1
Learning Python,"Mark Lutz, David Ascher",1999,,,"ger, eng",22
Python Programming,Sambath M,2020,,,eng,1
Python Programming,Nicky Kamerad,2022,,,eng,1
Python Programming For Beginners,"Python Programming, Michael Knapp",2015,,,eng,1
Python Programming,"James, Thomas",2019,,,eng,1
Python Programming for Intermediates,"Python Programming, Michael Knapp",2017,,,eng,2
Intermediate Python Programming,"Richard Ozer, Python Programming",2017,,,eng,1
Python® Programming : Advanced,Logical Operations Logical Operations,2016,,,eng,1
Python Programming for Beginners,Joseph Joyner,2014,,,eng,1
Python Programming for Beginners,Joseph Joyner,2014,,,eng,1
Black Hat Python Programming,"Richard Ozer, Python Programming",2018,,,eng,1
Fundamentals of Python Programming,Richard L. Halterman,2018,,,eng,1
Python® Programming : Advanced,Logical Operations Logical Operations,2016,,,eng,1
Python Programming,Yuvaraj Jonna,2020,,,eng,1
Python Programming,Joseph Langston,2019,,,eng,1
Python Programming,Jon Bond,2016,,,eng,1
Python Programming,Navi Feroz,2018,,,eng,1
Python Programming,George Duckett,2016,,,eng,1
Python Programming Books Set,James Long,2015,,,eng,1
Python Programming,Cal Baron,2019,,,,1
Python Programming for Advanced,"Python Programming, Michael Knapp",2017,,,eng,1
Python Programming,Jason Rees,2019,,,eng,1
Python Programming Tutorials,Adelaida Seykoski,2022,,,eng,1
Python Programming for Newbies,Ajit Kumar,2020,,,eng,1
Python Programming,K Connors,2017,,,eng,1
Python Programming Now!,D. James Smith,2015,,,eng,1
Python : Python Programming for Beginners,Joseph Connor,2017,,,eng,1
Python Programming,Graham Shaw,2016,,,,1
Python Programming,"Vinod Patidar, Manmohan Singh, Shiv Shakt Shrivastava",2024,,,eng,2
Introduction to Python Programming,"Gowrishankar S, Veena A",2018,,,eng,5
Python Programming,William Gunnells,2018,,,eng,2
